food_id,name,category,serving_amount,serving_unit,serving_weight_g,kcal,protein_g,fat_g,carb_g,sodium_mg,source_type,source_publisher,source_url,accessed_at,notes
report-6ac56f0d5a,农家小炒肉（鸡蛋干版本）,main_dish,100,克,100,191,11.5,14.5,4,754,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E5%86%9C%E5%AE%B6%E5%B0%8F%E7%82%92%E8%82%89%EF%BC%88%E9%B8%A1%E8%9B%8B%E5%B9%B2%E7%89%88%E6%9C%AC%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-79f472d5f3,糯米杂谷饭团（奥尔良鸡肉馅）,breakfast,100,克,100,177,5.6,2,33.7,410,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E7%B3%AF%E7%B1%B3%E6%9D%82%E8%B0%B7%E9%A5%AD%E5%9B%A2%EF%BC%88%E5%A5%A5%E5%B0%94%E8%89%AF%E9%B8%A1%E8%82%89%E9%A6%85%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-62f7812592,泡椒鸡杂面,staple,100,克,100,121,4.3,5,14.5,393,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E6%B3%A1%E6%A4%92%E9%B8%A1%E6%9D%82%E9%9D%A2.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-459a60e191,皮蛋瘦肉粥,breakfast,100,克,100,49,1.4,0.8,8.8,213,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E7%9A%AE%E8%9B%8B%E7%98%A6%E8%82%89%E7%B2%A5.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-f33005981f,肉饼蒸蛋（常规版）,main_dish,100,克,100,142,10.6,10.9,0.7,422,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E8%92%B8%E8%8F%9C/%E8%82%89%E9%A5%BC%E8%92%B8%E8%9B%8B%EF%BC%88%E5%B8%B8%E8%A7%84%E7%89%88%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-0b66485a9e,肉饼蒸蛋（马蹄版）,main_dish,100,克,100,131,12.4,8.5,1.4,485,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E8%92%B8%E8%8F%9C/%E8%82%89%E9%A5%BC%E8%92%B8%E8%9B%8B%EF%BC%88%E9%A9%AC%E8%B9%84%E7%89%88%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-f402fa51db,砂锅豆花鸡,main_dish,100,克,100,198,11.2,16,2.6,501,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%A0%82%E9%94%85%E8%8F%9C/%E7%A0%82%E9%94%85%E8%B1%86%E8%8A%B1%E9%B8%A1.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-15f75bf94d,砂锅老坛酸菜鱼,main_dish,100,克,100,72,2.9,3.5,7.2,752,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%A0%82%E9%94%85%E8%8F%9C/%E7%A0%82%E9%94%85%E8%80%81%E5%9D%9B%E9%85%B8%E8%8F%9C%E9%B1%BC.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-d09a3b9d5a,砂锅肉汁素鸡,main_dish,100,克,100,157,6.9,13.2,3.1,487,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%A0%82%E9%94%85%E8%8F%9C/%E7%A0%82%E9%94%85%E8%82%89%E6%B1%81%E7%B4%A0%E9%B8%A1.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-deea1829df,砂锅香辣鱿鱼,main_dish,100,克,100,136,8.2,6.5,11.2,372,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%A0%82%E9%94%85%E8%8F%9C/%E7%A0%82%E9%94%85%E9%A6%99%E8%BE%A3%E9%B1%BF%E9%B1%BC.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-146a4500b6,蔬菜鸡蛋卷饼,breakfast,100,克,100,231,6,12.1,24.5,473,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E6%97%A9%E9%A4%90/%E8%94%AC%E8%8F%9C%E9%B8%A1%E8%9B%8B%E5%8D%B7%E9%A5%BC.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-8afe37c001,酸菜血旺豆腐,main_dish,100,克,100,72,5.4,4.1,3.2,623,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%96%E8%8F%9C/%E9%85%B8%E8%8F%9C%E8%A1%80%E6%97%BA%E8%B1%86%E8%85%90.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-da4fdd199c,酸辣包菜,vegetable,100,克,100,95,1.5,8,4.5,491,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E9%85%B8%E8%BE%A3%E5%8C%85%E8%8F%9C.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-54bf838541,蒜黄炒鸡蛋,main_dish,100,克,100,114,4.2,9.4,3.3,475,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E8%92%9C%E9%BB%84%E7%82%92%E9%B8%A1%E8%9B%8B.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-73d578f8b1,蒜苔炒鸡胗,main_dish,100,克,100,150,9.7,8.9,7.8,733,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E8%92%9C%E8%8B%94%E7%82%92%E9%B8%A1%E8%83%97.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-a63e8638ff,蒜苔炒木耳,vegetable,100,克,100,129,2.1,8.8,10.5,1120,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%92%E8%8F%9C/%E8%92%9C%E8%8B%94%E7%82%92%E6%9C%A8%E8%80%B3.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-bb1c6b07ad,笋子鸡丁盖饭（包菜版）,staple,100,克,100,171,5.6,6.8,21.7,353,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E7%AC%8B%E5%AD%90%E9%B8%A1%E4%B8%81%E7%9B%96%E9%A5%AD%EF%BC%88%E5%8C%85%E8%8F%9C%E7%89%88%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-78d12d5f7b,笋子鸡丁盖饭（菜苔版）,staple,100,克,100,172,4.5,6.5,23.8,364,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E4%B8%BB%E9%A3%9F/%E7%AC%8B%E5%AD%90%E9%B8%A1%E4%B8%81%E7%9B%96%E9%A5%AD%EF%BC%88%E8%8F%9C%E8%8B%94%E7%89%88%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-6a70efff2a,糖糕（红糖馅）,snack,100,克,100,248,4.3,7.1,41.4,23,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%82%B8%E5%93%81/%E7%B3%96%E7%B3%95%EF%BC%88%E7%BA%A2%E7%B3%96%E9%A6%85%EF%BC%89.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
report-c45c0d6a58,铜锅安格斯肥牛,main_dish,100,克,100,164,4.6,13.6,6.3,686,third_party,CookLikeHOC / 溯源报告 2.0 整理,https://github.com/Gar-b-age/CookLikeHOC/blob/main/%E7%85%AE%E9%94%85/%E9%93%9C%E9%94%85%E5%AE%89%E6%A0%BC%E6%96%AF%E8%82%A5%E7%89%9B.md,2026-07-02,门店实际份量未公开；信达好第坊店实时在售状态待核验
